交易日期,月份,方向,金额,对手方原始,对手方归一化,台账方向,摘要,业务类型,是否内部,交易流水号
2026-01-03,2026-01,付,25.00,对公中间业务收入-网上其他收入,对公中间业务收入-网上其他收入,下游/付方,网上企业银行-网上企业银行服务费,费用/利息,否,C0147BV000G208Z
2026-01-03,2026-01,付,52.25,网上电子汇划收入,网上电子汇划收入,下游/付方,网银支付-行内-异地手续费,费用/利息,否,C0147BV000BU4QZ
2026-01-03,2026-01,付,83.80,网上电子汇划收入,网上电子汇划收入,下游/付方,网银支付-跨行-异地手续费,费用/利息,否,C0147BV000H5S3Z
2026-01-04,2026-01,付,1440.00,苏州莫托海供应链有限公司,苏州莫托海供应链,下游/付方,11月仓储费,费用/利息,否,C0147BW001DJGZZ
2026-01-05,2026-01,付,929420.00,北京华鑫视创科技有限公司,北京华鑫视创科技,下游/付方,货款,贸易货款,否,C0147BX000Q2CSZ
2026-01-05,2026-01,收,930280.00,陆丰星河云海科技有限公司,陆丰星河云海科技,上游/收方,货款,贸易货款,否,C0147BX000MTSOZ
2026-01-05,2026-01,付,69580.00,北京华鑫视创科技有限公司,北京华鑫视创科技,下游/付方,货款,贸易货款,否,C0147BX000MTIYZ
2026-01-05,2026-01,收,69720.00,陆丰星河云海科技有限公司,陆丰星河云海科技,上游/收方,货款,贸易货款,否,C0147BX000R0Z1Z
2026-01-05,2026-01,付,4520.00,段欢欢,段欢欢,下游/付方,借款,借款(非贸易),否,C0147BX000LNFOZ
2026-01-06,2026-01,付,502.00,广州市骏天物流有限公司,广州市骏天物流,下游/付方,运费,其他,否,C0147BY00163ITZ
2026-01-06,2026-01,付,1088400.00,北京华鑫视创科技有限公司,北京华鑫视创科技,下游/付方,货款,贸易货款,否,C0147BY000P5SOZ
2026-01-06,2026-01,收,1091600.00,陆丰星河云海科技有限公司,陆丰星河云海科技,上游/收方,货款,贸易货款,否,C0147BY000P3CFZ
2026-01-08,2026-01,付,8000.00,段欢欢,段欢欢,下游/付方,借款,借款(非贸易),否,C0147C0000X95MZ
2026-01-16,2026-01,付,700.00,深圳宽东方新能源集团有限公司,深圳宽东方新能源集团,下游/付方,内部转款,内部往来,是,C0147C80008O3OZ
2026-02-02,2026-02,付,14100.00,段欢欢,段欢欢,下游/付方,借款,借款(非贸易),否,C0147CP001RYT6Z
2026-02-02,2026-02,收,14000.00,宽东方集团有限责任公司,宽东方集团,上游/收方,投资款,投资(资本),是,C0147CP001TYIZZ
2026-02-03,2026-02,付,25.00,对公中间业务收入-网上其他收入,对公中间业务收入-网上其他收入,下游/付方,网上企业银行-网上企业银行服务费,费用/利息,否,C0147CQ000EJZVZ
2026-02-03,2026-02,付,39.68,网上电子汇划收入,网上电子汇划收入,下游/付方,网银支付-行内-异地手续费,费用/利息,否,C0147CQ000GPJLZ
2026-02-03,2026-02,付,8.76,网上电子汇划收入,网上电子汇划收入,下游/付方,网银支付-跨行-异地手续费,费用/利息,否,C0147CQ000CFI2Z
2026-02-10,2026-02,付,10000.00,深圳宽东方新能源集团有限公司,深圳宽东方新能源集团,下游/付方,内部转款,内部往来,是,C0147CX00236POZ
2026-02-10,2026-02,收,10000.00,宽东方集团有限责任公司,宽东方集团,上游/收方,投资款,投资(资本),是,C0147CX001O05PZ
2026-03-04,2026-03,付,99700.00,南京司凯奇汽车科技有限公司,南京司凯奇汽车科技,下游/付方,货款,贸易货款,否,C0147DJ001C8QBZ
2026-03-04,2026-03,收,99800.00,南京沿途汽车用品有限公司,南京沿途汽车用品,上游/收方,货款,贸易货款,否,C0147DJ001HDWGZ
2026-03-04,2026-03,付,10000.00,段欢欢,段欢欢,下游/付方,借款,借款(非贸易),否,C0147DJ0012UZCZ
2026-03-04,2026-03,收,10000.00,深圳宽东方新能源集团有限公司,深圳宽东方新能源集团,上游/收方,内部往来款,内部往来,是,C0147DJ001A9TEZ
2026-03-06,2026-03,付,2194000.00,南京司凯奇汽车科技有限公司,南京司凯奇汽车科技,下游/付方,货款,贸易货款,否,C0147DL001287LZ
2026-03-06,2026-03,收,2207800.00,南京沿途汽车用品有限公司,南京沿途汽车用品,上游/收方,货款,贸易货款,否,C0147DL0013861Z
2026-03-06,2026-03,付,2595100.00,南京司凯奇汽车科技有限公司,南京司凯奇汽车科技,下游/付方,货款,贸易货款,否,C0147DL000CTMIZ
2026-03-06,2026-03,收,2595600.00,南京沿途汽车用品有限公司,南京沿途汽车用品,上游/收方,货款,贸易货款,否,C0147DL000I3NKZ
2026-03-12,2026-03,付,96000.00,江西盈科数码科技有限公司,江西盈科数码科技,下游/付方,货款,贸易货款,否,C0147DR000MQFBZ
2026-03-12,2026-03,收,96750.00,北京华鑫视创科技有限公司,北京华鑫视创科技,上游/收方,退货款,退货款,否,C0147DR000LN9AZ
2026-03-13,2026-03,付,988900.00,江西盈科数码科技有限公司,江西盈科数码科技,下游/付方,货款,贸易货款,否,C0147DS000Z4QLZ
2026-03-13,2026-03,收,987650.00,北京华鑫视创科技有限公司,北京华鑫视创科技,上游/收方,退货款,退货款,否,C0147DS00125RLZ
2026-03-13,2026-03,付,1002500.00,江西盈科数码科技有限公司,江西盈科数码科技,下游/付方,货款,贸易货款,否,C0147DS000KTFNZ
2026-03-13,2026-03,收,1003000.00,北京华鑫视创科技有限公司,北京华鑫视创科技,上游/收方,退货款,退货款,否,C0147DS000HJ4OZ
2026-03-21,2026-03,收,0.47,应付利息-单位活期存款利息-自动计提,应付利息-单位活期存款利息-自动计提,上游/收方,收息，结息账号: 755980720910088,费用/利息,否,C0147E0000R1MEZ
2026-03-23,2026-03,付,18355.33,段欢欢,段欢欢,下游/付方,借款,借款(非贸易),否,C0147E2001RH6OZ
2026-03-23,2026-03,收,5000.00,深圳宽东方新能源集团有限公司,深圳宽东方新能源集团,上游/收方,内部往来款,内部往来,是,C0147E20012ND5Z
2026-03-31,2026-03,付,960.00,苏州万城汇物流有限公司,苏州万城汇物流,下游/付方,1月仓储费,费用/利息,否,C0147EA000PB9AZ
2026-04-01,2026-04,付,305000.00,南京司凯奇汽车科技有限公司,南京司凯奇汽车科技,下游/付方,货款,贸易货款,否,C0147EB0016EJCZ
2026-04-01,2026-04,收,305200.00,湖南云谷智能科技有限公司,湖南云谷智能科技,上游/收方,货款,贸易货款,否,C0147EB0010IOBZ
2026-04-03,2026-04,付,25.00,对公中间业务收入-网上其他收入,对公中间业务收入-网上其他收入,下游/付方,网上企业银行-网上企业银行服务费,费用/利息,否,C0147ED0016AQUZ
2026-04-03,2026-04,付,143.97,网上电子汇划收入,网上电子汇划收入,下游/付方,网银支付-跨行-异地手续费,费用/利息,否,C0147ED0016AQSZ
2026-04-07,2026-04,付,1802340.00,南京司凯奇汽车科技有限公司,南京司凯奇汽车科技,下游/付方,货款,贸易货款,否,C0147EH000R8YFZ
2026-04-07,2026-04,收,1802840.00,湖南云谷智能科技有限公司,湖南云谷智能科技,上游/收方,货款,贸易货款,否,C0147EH000MWIOZ
2026-04-08,2026-04,付,1021800.00,南京司凯奇汽车科技有限公司,南京司凯奇汽车科技,下游/付方,货款,贸易货款,否,C0147EI0011JU7Z
2026-04-08,2026-04,收,1022300.00,湖南云谷智能科技有限公司,湖南云谷智能科技,上游/收方,货款,贸易货款,否,C0147EI0013L1BZ
2026-04-08,2026-04,付,20000.00,深圳宽东方新能源集团有限公司,深圳宽东方新能源集团,下游/付方,内部转款,内部往来,是,C0147EI0013AC0Z
2026-04-08,2026-04,收,20000.00,宽东方集团有限责任公司,宽东方集团,上游/收方,投资款,投资(资本),是,C0147EI000ZRFRZ
2026-04-10,2026-04,付,1837280.00,南京司凯奇汽车科技有限公司,南京司凯奇汽车科技,下游/付方,货款,贸易货款,否,C0147EK000MSVDZ
2026-04-10,2026-04,收,1838080.00,湖南云谷智能科技有限公司,湖南云谷智能科技,上游/收方,货款,贸易货款,否,C0147EK000OSZEZ
2026-04-15,2026-04,付,860.00,苏州万城汇物流有限公司,苏州万城汇物流,下游/付方,3月仓储费,费用/利息,否,C0147EP001T1IGZ
2026-04-15,2026-04,付,489830.00,南京司凯奇汽车科技有限公司,南京司凯奇汽车科技,下游/付方,货款,贸易货款,否,C0147EP001EH1KZ
2026-04-15,2026-04,收,504530.00,湖南云谷智能科技有限公司,湖南云谷智能科技,上游/收方,货款,贸易货款,否,C0147EP001GE10Z
2026-04-23,2026-04,付,15500.00,段欢欢,段欢欢,下游/付方,借款,借款(非贸易),否,C0147EX0014T7HZ
2026-05-03,2026-05,付,114.73,网上电子汇划收入,网上电子汇划收入,下游/付方,网银支付-跨行-异地手续费,费用/利息,否,C0147F7000DMOAZ
2026-05-08,2026-05,付,1903750.00,湖北雷霆科技股份有限公司,湖北雷霆科技股份,下游/付方,货款,贸易货款,否,C0147FC000US1AZ
2026-05-08,2026-05,收,1904750.00,衢州晟材供应链有限公司,衢州晟材供应链,上游/收方,货款,贸易货款,否,C0147FC000SJ90Z
2026-05-15,2026-05,付,1606990.00,湖北雷霆科技股份有限公司,湖北雷霆科技股份,下游/付方,货款,贸易货款,否,C0147FJ000MYPHZ
